128 Forest; replaced with Forest
Karlov of the Ghost Council
Oil-Gorger Troll
Dromoka Warrior
Scroll of Origins
Walking Bulwark
Visions
Gilt-Leaf Ambush
Mountain Bandit
Sindbad
Ghost-Lit Nourisher
Horobi, Death's Wail
Hanabi Blast
Blood Tithe
Aspiring Aeronaut
Dread Warlock
Canyon Vaulter
Elenda, Saint of Dusk
Heat Wave
Gate to the Aether
Mistform Seaswift
Shadow the Hedgehog
Syndicate Infiltrator
Blazethorn Scarecrow
Spiteful Sliver
Nissa's Encouragement
Balancing Act
Overwhelming Denial
Warehouse Thief
Blazing Effigy
Summons of Saruman
Chittering Witch
Queen's Commission
Reincarnation
Kitsune Bonesetter
Drown in Sorrow
Gideon, Ally of Zendikar
Rise of Extus
Sundering Growth
Lookout's Dispersal
Gimli of the Glittering Caves
District Mascot
Rites of Refusal
Memory Sluice
Enslaved Horror
Biting Rain
Walk with the Ancestors
Ephara's Dispersal
Foresee
Fiery Cannonade
Fabrication Foundry
Monsoon
Cleopatra, Exiled Pharaoh
Ravenous Gigantotherium
River's Rebuke
Nightsky Mimic
Spontaneous Flight
One with Nature
Hide in Plain Sight
The Legend of Roku // Avatar Roku
Angel of Flight Alabaster
Radiant, Archangel
Angelic Skirmisher
Crash
Diviner's Wand
The First Iroan Games
Lava Hounds
Enthusiastic Study
Aphetto Exterminator
Leonardo, Leader in Blue
Susan Foreman
Wild Research
Outlaws' Fury
Rebellious Captives
Firkraag, Cunning Instigator
Aim High
Melesse Spirit
Ashen Ghoul
Moonshae Pixie // Pixie Dust
Roar of the Kha
Gaze of the Gorgon
Insatiable Appetite
Daring Leap
Exploding Borders
Imperial Aerosaur
Forbidden Ritual
Scarred Vinebreeder
Wasteland Scorpion
Inspiring Unicorn
Cloudheath Drake
Ironclad Slayer
Diregraf Escort
Rage-Scarred Berserker
Tishana, Voice of Thunder
Thermopod
Naomi, Pillar of Order
Rebuke
Consul's Lieutenant
Cephalid Coliseum
Lord of the Unreal
Thrash // Threat
Gix, Yawgmoth Praetor
Birthday Escape
Goldmane Griffin
Engineered Explosives
Become Anonymous
Creature Bond
Aethertow
Kinsbaile Borderguard
Might of Alara
Steeling Stance
Final Vengeance
Final Reward
Send to Sleep
Dream Chisel
Douser of Lights
Minsc, Beloved Ranger
Mercurial Spelldancer
Horn of Valhalla // Ysgard's Call
True Conviction
Chaos Shrine's Black Crystal
Surgical Suite // Hospital Room
Nature's Rhythm
Master of Pearls
Krumar Initiate
Demon of Loathing
Victual Sliver
Fleet-Footed Monk
Hive Stirrings
Gloomdrifter
Nimraiser Paladin
Goldbug, Humanity's Ally // Goldbug, Scrappy Scout
Bake into a Pie
Primordial Hydra
Sorceress Queen
Barrage of Boulders
Sequestered Stash
Glider Staff
Serra Angel
Warrant // Warden
Firebending Student
Molten Duplication
Ravenous Chupacabra
Coffin Queen
Choice of Damnations
Debt to the Deathless
Response // Resurgence
Vivid Revival
Annul
Rainbow Vale
Promise of Tomorrow
Kuldotha Flamefiend
Giant Killer // Chop Down
Vanishment
Territorial Allosaurus
Snow Day
Malcator, Purity Overseer
Surtr, Fiery Jötun
Marang River Prowler
Sutured Ghoul
Legerdemain
Armored Warhorse
Icewind Stalwart
Pacification Array
Resolute Survivors
Brilliant Plan
Thought Shucker
Signal the Clans
Kor Chant
Zephid's Embrace
Dutiful Return
Reduce in Stature
Merry Bards
Stormkeld Prowler
Solar Blast
Dispossess
Ragnar
Generator Servant
Triangle of War
Cradle Clearcutter
Excavated Wall
Craterhoof Behemoth
Rooftop Nuisance
Mijae Djinn
Plea for Guidance
Runebound Wolf
Helpful Hunter
Shaun & Rebecca, Agents
Cat Burglar
Fangblade Brigand // Fangblade Eviscerator
Fiery Inscription
Mutant's Prey
Bold Impaler
March of the Canonized
Sheltered Valley
Slab Hammer
Vision Skeins
Embereth Shieldbreaker // Battle Display
Steamflogger Boss
Tempest Angler
Ogre Enforcer
Breath of Malfegor
Jarl of the Forsaken
Sejiri Refuge
Blanket of Night
Mana Cylix
Brassclaw Orcs
Night Market Aeronaut
Razormane Masticore
Swamp // Swamp
Moonshaker Cavalry
Slavering Branchsnapper
Chosen of Markov // Markov's Servant
Terrain Elemental
Eriette's Whisper
Wolfbitten Captive // Krallenhorde Killer
Guide of Souls
Wormfang Manta
Rush of Adrenaline
Processor Assault
Rag Dealer
Narset, Jeskai Waymaster
Ozai, the Phoenix King
Master's Guide-Mural // Master's Manufactory
Kiss of Death
Essence Capture
Inspirit
Jailbreak Scheme
Light Up the Night
Hollow Trees
Tocatli Honor Guard
Emerald Dragonfly
Unctus's Retrofitter
Fateful End
Dragonfly Swarm
Volcanic Rush
Relic of Sauron
Gilded Scuttler
Mystic Meditation
Ecstatic Awakener // Awoken Demon
Primal Cocoon
Thopter Foundry
Mortivore
Hotshot Mechanic
Whalebone Glider
Chromatic Star
Sporocyst
Purple Worm
Otherworld Atlas
Venom's Hunger
Witch of the Moors
Crown of Gondor
Tectonic Rift
Graypelt Refuge
Ivy Lane Denizen
Lazotep Plating
Sarkhan, the Dragonspeaker
Squeaking Pie Grubfellows
Tectonic Hellion
Haze Frog
Access Denied
Burn the Accursed
Skysnare Spider
Supreme Verdict
Esperzoa
Meng Huo, Barbarian King
Scab-Clan Berserker
Simic Charm
Sword of the Meek
Dramatist's Puppet
Serra Bestiary
Overbeing of Myth
Crumble to Dust
Quickchange
Metropolis Reformer
Lord Skitter's Butcher
Crystal Vein
Keep Safe
Glassdust Hulk
Kasmina, Enigma Sage
Plains
Ruin Processor
Baron Sengir
Betrayal
Commander's Insignia
Staff of Zegon
Leveler
Ib Halfheart, Goblin Tactician
Chronozoa
Wreak Havoc
Call the Skybreaker
Curator of Mysteries
Nevermaker
Aerial Modification
Gudul Lurker
Shackle Slinger
Stitcher Geralf
Etherium Astrolabe
Bloodtithe Collector
Grim Strider
Scarwood Treefolk
Fleeting Memories
Rose, Cutthroat Raider
Devotee of Strength
False Peace
Shadow Prophecy
Evershrike's Gift
Coin of Mastery
Sarcatog
Aunt May
Savage Silhouette
Rhonas's Monument
High-Flying Ace
Fallowsage
Guardian Archon
Tournament Grounds
Parnesse, the Subtle Brush
Windborn Muse
Impostor of the Sixth Pride
Legion Guildmage
Colossal Badger // Dig Deep
Runed Halo
Domri's Ambush
Beast Within
Magus of the Tabernacle
Razorgrass Ambush // Razorgrass Field
Sylvan Anthem
The Cabbage Merchant
Revive the Fallen
Enduring Courage
Whipflare
Zhalfirin Knight
Deal Gone Bad
The Red Terror
Initiate of Blood // Goka the Unjust
Fountain of Ichor
All of History, All at Once
Blightsteel Colossus // Blightsteel Colossus
Rouse the Mob
Quickbeam, Upstart Ent
Freyalise Supplicant
Tideshaper Mystic
Shefet Monitor
Bloodtithe Harvester
Worldslayer
Temur Charger
Astrologian's Planisphere
Kazuul's Fury // Kazuul's Cliffs
Lion Vulture
Aetherworks Marvel
Fatal Fumes
Rhystic Deluge
Eladamri's Vineyard
Beatrix, Loyal General
Keys to the House
Cultivator Colossus
Channeler Initiate
Changeling Outcast
Cephalid Facetaker
Maximum Overdrive
Pouncing Wurm
Mindless Automaton
Taste for Mayhem
Spyglass Siren
Stronghold Confessor
Cetavolver
Scorned Villager // Moonscarred Werewolf
Mines of Moria
Eternity Snare
Impatience
Kjeldoran War Cry
Shinen of Life's Roar
Mushroom Watchdogs
Shu Cavalry
Vhati il-Dal
Spontaneous Combustion
Circle of Confinement
Unruly Mob
Brass Squire
Silhana Starfletcher
_____ Bird Gets the Worm
Grimdancer
Lich-Knights' Conquest
Wild Hunger
Angelic Favor
Reverse Damage
Coati Scavenger
Ponder
Wedgelight Rammer
Sunspine Lynx
Evil Eye of Orms-by-Gore
Altar of Bone
Healing Salve
Treacherous Link
Loxodon Convert
Polygoyf
Ancestor's Prophet
Liliana's Devotee
Galvanic Blast
Fyndhorn Druid
Soldevi Heretic
Drainpipe Vermin
Salt Road Quartermasters
Shrieking Affliction
Gargantuan Leech
Sheltering Word
Ixhel, Scion of Atraxa
The Cyber-Controller
Fraying Omnipotence
Insidious Will
Trick Shot
Youthful Knight
Pelakka Predation // Pelakka Caverns
Tunneling Geopede
Diplomacy of the Wastes
Erase
Grasping Thrull
Savage Swipe
Verdant Succession
Give // Take
Bedevil
Savage Knuckleblade
Dark-Dweller Oracle
Dark Leo & Shredder
Sagu Wildling // Roost Seek
Coalition Victory
Wave of Vitriol
Brilliant Wings
Lorehold Apprentice
Squishy Sphinx Ninja
Restore Balance
Kor Cartographer
Artifact Mutation
Assault Intercessor
Grind // Dust
Minas Tirith
Lion Umbra
Hermes, Overseer of Elpis
Swarming of Moria
Sire of Stagnation
Phyrexian Vatmother
Resurrection
Yawgmoth's Will
Balmor, Battlemage Captain
Souvenir Snatcher
Den of the Bugbear
Aragorn, Hornburg Hero
Sonorous Howlbonder
Sleek Schooner
Rite of Consumption
Cecil, Dark Knight // Cecil, Redeemed Paladin
Bloodlord of Vaasgoth
Echoing Return
Temperamental Oozewagg
Sheoldred's Restoration
Drain Life
Kellan, the Fae-Blooded // Birthright Boon
Clear the Stage
Surge Conductor
Soundwave, Sonic Spy // Soundwave, Superior Captain
Howlsquad Heavy
Merrow Witsniper
Ember Swallower
Prismatic Ending
Scholar of the Lost Trove
Tel-Jilad Lifebreather
Howlpack Resurgence
Taii Wakeen, Perfect Shot
Unseal the Necropolis
Malakir Rebirth // Malakir Mire
Paranoid Delusions
Molten-Tail Masticore
Breach the Multiverse
Wall of Stolen Identity
Hermit Druid
Illusory Demon
Siren Song Lyre
Auspicious Arrival
Nessian Hornbeetle
Dimir Signet
Blackbloom Rogue // Blackbloom Bog
Recycle
Merfolk Coralsmith
Natural Order
Swirling Sandstorm
Commune with the Gods
Nightveil Sprite
Mystical Tether
Sunlit Marsh
Champion of Arashin
Vial of Dragonfire
Blue Mana Battery
Bog Hoodlums
Savage Smash
Ashiok, Sculptor of Fears
Radha, Heart of Keld // Radha, Heart of Keld
Senate Griffin
Baloth Null
Hapless Researcher
Cemetery Reaper
Migratory Greathorn
Warrior's Charge
Jace, Vryn's Prodigy // Jace, Telepath Unbound
Glissa Sunslayer
Ulvenwald Observer
The Master of Keys
Nebuchadnezzar
Nightwind Glider
Wicked Pact
Shinen of Flight's Wings
Fire-Rim Form
Ajani Unyielding
Chocobo Knights
Tymaret, the Murder King
Hellkite Courser
Bazaar Trader
Arena of the Ancients
True-Name Nemesis
Hand of Silumgar
Sapphire Leech
Magus of the Moon
Venomized Cat
Hermetic Study
Elvish Skysweeper
Wardscale Dragon
Reflect Damage
Spirit of the Aldergard
Quest for Ula's Temple
Endling
Chromatic Armor
Death's Presence
Thought Nibbler
Vengeful Rebirth
Summon: Primal Odin
Orthion, Hero of Lavabrink
Tangle Asp
Defiled Crypt // Cadaver Lab
Darkbore Pathway // Slitherbore Pathway
Veteran Guardmouse
Mindmelter
Revive
Fracture
Karma
Tor Wauki
Chainweb Aracnir
Skyway Robber
Urianger Augurelt
Marang River Regent // Coil and Catch // Marang River Regent // Coil and Catch
Interpret the Signs
Dreamdrinker Vampire
Thriving Heath
Grothama, All-Devouring
Renegade Krasis
Glasspool Mimic // Glasspool Shore
Watchful Blisterzoa
Barbarian Outcast
Sanctum of Calm Waters
Encrust
Typhoon
Junk Jet
Release to the Wind
Looter il-Kor
Mold Adder
Ravine Raider
Rise from the Tides
Cyclops Electromancer
Outlaws' Merriment
Llanowar Druid
Monk Class
Pewter Golem
Endrider Spikespitter
Psychogenic Probe
Zodiac Rabbit
Geist of the Archives
Sentinel of the Eternal Watch
Bennie Bracks, Zoologist
Caustic Rain
Cemetery Tampering
Leaf-Crowned Visionary
Silumgar Butcher
Vodalian Zombie
Enlisted Wurm
Elven Farsight
Staunch Crewmate
Caldera Kavu
Territorial Roc
Sail into the West
Nightstalker Engine
Bloodthorn Taunter
Scavenging Ghoul
Sway of the Stars
Academy Wall
Two-Handed Axe // Sweeping Cleave
Scourge of the Undercity
Wormfang Turtle
Prava of the Steel Legion
Dust to Dust
Spike Drone
Jagged Barrens
Unwilling Ingredient
Bloodforged Battle-Axe
Pollywog Prodigy
Season of the Bold
Orzhov Advokist
Wall of Kelp
Push // Pull
Temple Thief
Sabertooth Outrider
Final Act
Knight Watch
Deathmark
Convalescence
Illuna, Apex of Wishes
Absolute Grace
Slice from the Shadows
Nomadic Elf
Teferi's Wavecaster
Yukora, the Prisoner
Golgari Guildmage
Path of Mettle // Metzali, Tower of Triumph
Scavenger Regent // Exude Toxin
Benalish Hero
Altanak, the Thrice-Called
Hibernation's End
Llanowar Knight
Fissure Vent
Concealed Weapon
Forging the Tyrite Sword
Sagu Pummeler
Palace Siege
District Guide
Ghirapur Aether Grid
Progenitus
Karplusan Minotaur
Goblin Archaeologist
Animate Artifact
Smelt
Merfolk Observer
Skoa, Embermage
Lightning Skelemental
Eerie Interlude
Assassin's Strike
Tangleweave Armor
Volrath the Fallen
Brine Giant
Dusk Charger
Liliana's Defeat
Silent Skimmer
Molten Hydra
Gigantiform
Repulsive Mutation
Halvar, God of Battle // Sword of the Realms
Thassa, Deep-Dwelling
Leave No Trace
Dragon-Style Twins
Sapling of Colfenor
Nimbus Naiad
Hidden Strings
Body Dropper
Cloudreach Cavalry
Niv-Mizzet, Guildpact
Bat Colony
Nature's Panoply
Veil of Secrecy
Xiahou Dun, the One-Eyed
Forced March
Vindictive Mob
Aven Redeemer
Starlit Mantle
Terrifying Presence
Guiltfeeder
Tasigur's Cruelty
Hanweir Garrison // Hanweir, the Writhing Township
Bristly Bill, Spine Sower
The Warring Triad
Vengeful Dreams
Militant Angel
Ecstatic Beauty
Daretti, Ingenious Iconoclast
Profane Command
Druid's Deliverance
Angelfire Ignition
Wulfgar of Icewind Dale
Pyretic Hunter
Highspire Artisan
Ancient Crab
Pemmin's Aura
Dance of Shadows
Maestros Theater
Soulfire Grand Master
Curious Herd
Merrow Bonegnawer
Mystic Archaeologist
Transit Mage
Viashino Slaughtermaster
Ogre Slumlord
Ringwarden Owl
Child of Night
Urza's Miter
Iron Maiden
Rootgrapple
Latch Seeker
Varina, Lich Queen
Fog on the Barrow-Downs
Hot Soup
Desertion
Afterlife from the Loam
Soul Conduit
Trusty Machete
Verdant Outrider
Yavimaya Iconoclast
Gift of Paradise
Ravager's Mace
Howling Fury
Gift of Orzhova
Belbe, Corrupted Observer
Venomthrope
Thancred Waters
Lier, Disciple of the Drowned
Compelling Deterrence
Strongarm Monk
Mirror Wall
Dregscape Zombie
Aurora Champion
Lieutenant Kirtar
Spiritmonger
Cartouche of Solidarity
Memorial Team Leader
Showdown of the Skalds
Aetherflame Wall
Smothering Tithe
Phyrexian Infiltrator
Disrupting Shoal
Shaman of the Great Hunt
Moorland Inquisitor
Green Scarab
Faerie Squadron
Prickleboar
Adult Gold Dragon
Storm the Seedcore
Alena, Kessig Trapper
Rassilon, the War President
Relic Seeker
Michiko's Reign of Truth // Portrait of Michiko
Wasp of the Bitter End
Chained Brute
Yoshimaru, Ever Faithful
Riveteers Initiate
Dihada, Binder of Wills
Satyr Enchanter
Xanthic Statue
Lord Xander, the Collector
Canopy Spider
RMS Titanic
Territorial Hammerskull
Minas Tirith Garrison
Horizon Seed
Coat with Venom
Priority Boarding
Borderland Behemoth
Glaring Fleshraker
Fungal Infection
Slith Predator
Highborn Vampire
Iona's Judgment
Earthshaker Dreadmaw
Calming Licid
Hisoka's Defiance
Bottomless Pit
Hotshot Investigators
Windstorm Drake
Initiate of Blood // Goka the Unjust
Archive Trap
Keldon Battlewagon
Squirming Mass
Formation
Think Tank
Squall
Tower Worker
Martyr of Dusk
Whiptail Wurm
Silence
Ruinous Ultimatum
Jolrael's Centaur
Reason // Believe
Viscerid Drone
Extraordinary Journey
Stolen Grain
Primal Growth
Sunblade Elf
Ghirapur Guide
Carrion Howler
Sword Coast Serpent // Capsizing Wave
Island Fish Jasconius
Circle of Protection: Artifacts
Veronica, Dissident Scribe
Kederekt Creeper
Kellan, Inquisitive Prodigy // Tail the Suspect
Rith, the Awakener
Cadaver Imp
Wall of One Thousand Cuts
Perplex
Hidden Spider
Evelyn, the Covetous
Boulderfall
Panacea
Vorinclex // The Grand Evolution
Ranger of Eos
Moat Piranhas
Coalition Warbrute
Press for Answers
Krark-Clan Engineers
Seething Anger
Mizzix of the Izmagnus
Muraganda Raceway
Elvish Soultiller
Drownyard Amalgam
Merfolk Cave-Diver
Captain Storm, Cosmium Raider
Stronghold Machinist
Sylvan Might
Fa'adiyah Seer
Gongaga, Reactor Town
Arcbound Condor
Lucid Dreams
Bloodline Pretender
Ragnarok, Divine Deliverance
Omenport Vigilante
Volcanic Strength
Wildheart Invoker
Sword of Forge and Frontier
Unchained Berserker
Joyous Respite
Escape Routes
Unlucky Drop
Filth
Desecration Plague
Krark-Clan Ironworks
Spitfire Lagac
Dreadfeast Demon
Harness by Force
Can't Stay Away
Indatha Crystal
Grand Coliseum
Bog Badger
Attendant of Vraska
Spectral Denial
Mite Overseer
Cactuar
Martyr's Soul
Necroplasm
Arms Dealer
Talons of Falkenrath
Glademuse
Hypochondria
Clawing Torment
Dromad Purebred
Radha, Heir to Keld
Shadowfeed
Last Voyage of the _____
Nameless Inversion
Frantic Inventory
Makeshift Mauler
The Locust God
Pharika's Cure
Starlight Snare
Dread Tiller
Earth Tremor
Ixalan's Binding
Dawn of Hope
Freyalise's Charm
Hog-Monkey Rampage
Helm of Obedience
Ancient Stirrings
Arbiter of Knollridge
Jarad's Orders
Sunmane Pegasus
Asceticism
Ichor Explosion
Gale's Redirection
Discovery // Dispersal
Biolume Egg // Biolume Serpent
Eerie Procession
Ian Chesterton
Choco, Seeker of Paradise
Metathran Transport
Linden, the Steadfast Queen
Stampeding Serow
Ambush Paratrooper
Sivvi's Valor
Aether Refinery
Groffskithur
Restless Bloodseeker // Bloodsoaked Reveler
Noxious Hatchling
Growing Rites of Itlimoc // Itlimoc, Cradle of the Sun
Anafenza, Kin-Tree Spirit
Liliana, Waker of the Dead
Lord of Change
Koskun Keep
Time Beetle
Corpse Explosion
Killer Whale
Moriok Scavenger
Unholy Hunger
Kiki-Jiki, Mirror Breaker
Cosmic Intervention
Slumbering Walker
Krang, Utrom Warlord
Intervention Pact
Feed the Cauldron
Temmet, Vizier of Naktamun
Sunfall
Spiteful Prankster
Shore Keeper
Moorland Rescuer
Mechan Navigator
Relentless X-ATM092
Quest for the Gravelord
Mind Knives
Sharlayan, Nation of Scholars
Academy Drake
Skyshroud Ridgeback
Isolated Watchtower
Gloomshrieker
Fae of Wishes // Granted
Branchblight Stalker
Krenko, Mob Boss
Larder Zombie
Oreskos Sun Guide
Kenessos, Priest of Thassa
Kyoshi Warriors
Spinerock Knoll
Boreas Charger
Slick Sequence
Analyze the Pollen
Falling Timber
Surreal Memoir
Hate Mirage
Arctic Aven
Lifegift
Daggerclaw Imp
Hidetsugu, Devouring Chaos
Mox Tantalite
Orchard Strider
Bargain
Izoni, Thousand-Eyed
Boonweaver Giant
Lightning-Rig Crew
Edge of the Divinity
Felidar Umbra
Gisa and Geralf
Shriveling Rot
Springjack Pasture
Lotus Bloom
Necropotence
Compelling Argument
Drawn from Dreams
Fecund Greenshell
Eyeblight Assassin
Karn, Scion of Urza
Seasons Past
Wall of Torches
Rhox Faithmender
Murderous Betrayal
Viashino Sandscout
Two-Headed Cerberus
Blazing Salvo
Bathe in Light
Promise of Aclazotz // Foul Rebirth
Magus of the Unseen
Skinwing
Stream of Thought
Triton Waverider
Balduvian Hydra
Searchlight Geist
Elite Instructor
Razorverge Thicket
Fear of Impostors
Planar Overlay
Desert's Due
Sighted-Caste Sorcerer
Scouting Hawk
Extinguish All Hope
Maniacal Rage
Cruel Edict
Gaea's Protector
Grasp of the Hieromancer
Elephant Resurgence
Avatar of Growth
Waking Nightmare
Waterspout Weavers
Tranquil Garden
Charging Bandits
Orcish Captain
Auriok Salvagers
Faerie Tauntings
Blaster Hulk
Said // Done
Mul Daya Channelers
Land Leeches
Alchemist's Refuge
Unbound Flourishing
Disciple of Griselbrand
Ramosian Captain
Greater Werewolf
Flamekin Village
Component Collector
Pride of Conquerors
Gamekeeper
Nantuko Tracer
Legion's Judgment
Patrician's Scorn
Skophos Maze-Warden
High Seas
Combine Chrysalis
Nantuko Disciple
Gideon's Battle Cry
Kavaron Harrier
Guardian of the Ages
Gruul Keyrune
Disciple of Phenax
Render Inert
Font of Fertility
Glacial Stalker
Welcome to . . . // Jurassic Park
Hostile Hostel // Creeping Inn
Sage's Knowledge
Izzet Keyrune
Inspired Idea
Mind Games
Ingot Chewer
Argivian Blacksmith
Sierra, Nuka's Biggest Fan
Ojer Axonil, Deepest Might // Temple of Power
Rampaging Classmate
Hashaton, Scarab's Fist
Moon-Vigil Adherents
Apes of Rath
Bogardan Firefiend
Sworn Guardian
Bespoke Bō
Incremental Blight
Barrow Naughty
Soratami Savant
Auramancer
Prized Statue
Superior Foes of Spider-Man
Blinding Flare
Searing Touch
Seize Opportunity
Gleam of Resistance
Illicit Auction
Nezumi Shortfang // Stabwhisker the Odious
Iroh, Tea Master
Wing Commando
Walking Ballista
Stormchaser's Talent
Rootwire Amalgam
Bombard
Herald of Serra
Seal of Fire
Invocation of Saint Traft
Shriekdiver
Rune of Protection: Artifacts
Hero of the Pride
Sheltering Landscape
Witchstalker
Deep-Fried Plague Myr
Soul Shatter
Hidden Path
Great Wall
Hit // Run
Katilda, Dawnhart Prime
Fighting Drake
Phyrexian Dragon Engine // Mishra, Lost to Phyrexia
Berserkers' Onslaught
Veteran Soldier
Clickslither
Mimic
Nirkana Assassin
Peace Talks
Wizard Replica
Ertai Resurrected
Armory Paladin
Bola Slinger
Siren of the Silent Song
Madcap Experiment
Mausoleum Guard
Pygmy Hippo
Ill-Timed Explosion
Time to Reflect
Ravenous Baboons
Thoughtbound Primoc
Gaseous Form
Okina, Temple to the Grandfathers
Old Rutstein
Ceaseless Searblades
Faceless Butcher
Skyshroud Claim
Oust
Banshee's Blade
Kwende, Pride of Femeref
